timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726106559361,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-3,text,false,,1113,0,3,3,https://reqres.in/api/users/<EOF>,0,0,0
1726106559317,90,ConsultarUsuario,200,OK,Grupo de Hilos 1-4,text,true,,1135,217,4,4,https://reqres.in/api/users/2,90,0,0
1726106559408,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-4,text,false,,1113,0,4,4,https://reqres.in/api/users/<EOF>,0,0,0
1726106559169,258,ConsultarUsuario,200,OK,Grupo de Hilos 1-5,text,true,,1136,217,4,4,https://reqres.in/api/users/1,258,0,165
1726106559363,85,ConsultarUsuario,200,OK,Grupo de Hilos 1-3,text,true,,1136,217,4,4,https://reqres.in/api/users/1,85,0,0
1726106559409,88,ConsultarUsuario,200,OK,Grupo de Hilos 1-4,text,true,,1136,217,3,3,https://reqres.in/api/users/1,88,0,0
1726106559497,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-4,text,false,,1113,0,3,3,https://reqres.in/api/users/<EOF>,0,0,0
1726106559427,97,ConsultarUsuario,200,OK,Grupo de Hilos 1-5,text,true,,1135,217,3,3,https://reqres.in/api/users/2,97,0,0
1726106559566,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-7,text,false,,1113,0,4,4,https://reqres.in/api/users/<EOF>,0,0,0
1726106559499,86,ConsultarUsuario,200,OK,Grupo de Hilos 1-4,text,true,,1136,217,4,4,https://reqres.in/api/users/1,86,0,0
